GitCommitMessage,Response
"ci: remove `cla/google` from required statues (#44197)
The CLA tools no longer report statuses as it is being run as Github actions.
PR Close #44197",No
"docs: remove redudant word in goldens/README.md (#44192)
PR Close #44192",No
"build(docs-infra): ensure overloaded functions render correctly (#44090)
If there were 1 or 2 additional overloads on a free-standing function in the API the overloads were not being shown.
Also the type of overload parameters were not being escaped correctly.
PR Close #44090",Yes
"docs: deprecate factory-based signature of the `downgradeModule` function (#44090)
DEPRECATED:
The `downgradeModule` function calls with NgModule factories are deprecated. Please use NgModule class based `downgradeModule` calls instead.
PR Close #44090",Yes
"docs: add profanis to GDE resources (#44147)
PR Close #44147",No
"release: cut the v13.1.0-next.2 release (#44201)
",No
"docs: release notes for the v13.0.2 release (#44200)
",No
"docs: Adding type annotation to ngOnInit() to make it consistent with the class structure produced by the CLI (#43579)
PR Close #43579",No
"docs: add armen vardanyan to GDE resources (#43919)
PR Close #43919",No
"build: update to latest commit for feature-request github action (#44191)
Updating as this fixes a permissions error.
PR Close #44191",Yes
"ci: update pullapprove.yml (#44193)
This commit updates the PullApprove config, since Zach is currently focused on improving Components.
PR Close #44193",No
"refactor(elements): remove non-existent schematic collection breaking with `ng add` (#44187)
Removes a non-existent schematic collection wired up for
`@angular/elements` that has been removed
with: https://github.com/angular/angular/commit/619b7cc3857b34598a0036f8ebf9bc2eb27f5507.
Fixes #44160.
PR Close #44187",No
"ci: add dylhunn to review groups for size, piblic api, minimum, and circular (#44190)
This is needed so I can review forms PRs that affect public API.
PR Close #44190",No
"docs(animations): improve wording for animation example (#44168)
improve the wording of the text explaining an animation
code snippet as that can be misinterpreted
resolves #43952
PR Close #44168",Yes
"test: type spy objects in test example (#44170)
Example for test doesn't use typing for Jasmine Spy objects. Updated
them with `SpyObj<T>` typing as in the Angular Documentation.
See https://angular.io/guide/testing-services
PR Close #44170",Yes
"refactor(router): add type annotation for UrlSegment.parameterMap (#44175)
Having the type specified explicitly makes the API reference more readable.
PR Close #44175",No
"ci: remove `cla: yes` from required labels (#44179)
Remove `cla: yes` from the require labels for merging as the CLACheck
tool no longer relies on labels.
Enforcement of the CLA being signed is still enforced by the status check
which is visible both in Github as well as checked by merge tooling.
PR Close #44179",No
"build: add instructions for getting Angular version for bug report (#44159)
The template asked for the Angular version but did not say how to get it.
Closes #44158
PR Close #44159",No
"build: update to yarn v1.22.17 (#44150)
Update to the latest version of yarn, 1.22.17.
PR Close #44150",No
"release: cut the v13.1.0-next.1 release (#44141)
",No
"docs: release notes for the v13.0.1 release (#44140)
",No
"build: update to latest @angular/dev-infra-private to address issues related to verifying environment (#44137)
Update to the latest package which properly checks if the running version of ng-dev is the version
described in yarn lock.
PR Close #44137",Yes
"refactor(core): format recently updated file to comply the lint rules (#44136)
This commit updates a file that was changed recently, but that change triggered the `lint` CI job to fail, since the lint rules were slightly changed.
PR Close #44136",Yes
"refactor(core): move outdated comment to view.ts (#44099)
remove the comment suggesting to use a const enum for ViewEncapsulation in
the renderer3/definitions.ts file and add a similar comment in the
view.ts file in which the enum is defined
Note: the new comment does not contain the suggestion of changing `None`
to `0` as it is unclear what benefits that would bring (for more info
see: https://github.com/angular/angular/pull/44099#discussion_r744157686)
PR Close #44099",No
"build: update angular (#44074)
PR Close #44074",No
"docs: update review tag to topic (#44008)
PR Close #44008",No
"fix(compiler): ensure that partially compiled queries can handle forward references (#44113)
When a partially compiled component or directive is ""linked"" in JIT mode, the body
of its declaration is evaluated by the JavaScript runtime. If a class is referenced
in a query (e.g. `ViewQuery` or `ContentQuery`) but its definition is later in the
file, then the reference must be wrapped in a `forwardRef()` call.
Previously, query predicates were not wrapped correctly in partial declarations
causing the code to crash at runtime. In AOT mode, this code is never evaluated
but instead transformed as part of the build, so this bug did not become apparent
until Angular Material started running JIT mode tests on its distributable output.
This change fixes this problem by noting when queries are wrapped in `forwardRef()`
calls and ensuring that this gets passed through to partial compilation declarations
and then suitably stripped during linking.
See https://github.com/angular/components/pull/23882 and https://github.com/angular/components/issues/23907
PR Close #44113",No
"refactor(compiler): rename R3ProviderExpression and associated helpers (#44113)
This interface will be used in other situations so this change renames it to be more general as `MaybeForwardRefExpression`.
PR Close #44113",Yes
"build: lock file maintenance (#44111)
PR Close #44111",No
"test(compiler): remove IE11 match in JIT compiler tests (#44122)
Since we no longer support (nor test on) IE11 we can remove these matches
for `anonymous` functions.
PR Close #44122",Yes.
"docs: updates typescript configuration file links (#44131)
The links for `tsconfig.json` target and module sections no longer valid. This commit updates the document with correct links
PR Close #44131",Yes
"build(devtools): create custom no sandbox chrome browser rule
Previously, running tests in CI with the chromium-local browser would cause the following error ""Running as root without --no-sandbox is not supported"".
Now the karma test suites run in a custom no sandbox browser.",Yes
"fix(devtools): add d3 and semver dsl umd modules to karma tests for ng-devtools and ng-devtools-backend
These modules are necessary because concatjs_devserver needs named amd/umd modules (https://bazelbuild.github.io/rules_nodejs/Concatjs.htmlrangle/angular-devtools#third-party-code)",Yes
"build(devtools): migrate shell-chrome to bazel
Allows shell-chrome to be built with bazel. Currently this is built in production mode with terser minified code and the appropriate manifest and content script files to make the chrome extension work properly.",No
"build(devtools): migrate demo app to bazel
Allows the demo app to be builtmwith bazel and a dev server started with `yarn start`.",Yes
"build(devtools): migrate ng-devtools library to bazel
Allows the ng-devtools library to be built with bazel. ng-devtools can now be used as a dependency in other bazel build rules.",Yes
"build(devtools): migrate ng-devtools-backend to bazel
Allows the ng-devtools-backend to be built with bazel. Allows ng-devtools-backend to be used as a dependency in other bazel build rules.",Yes
"build(devtools): migrate demo-no-zone to be built with bazel and allow it to be served with concatjs_devserver
Allows the demo-no-zone application to be built with bazel and a devserver run with `bazel run projects/demo-no-zone/src:devserver`",Yes
"build(devtools): create bazel build rules for shared-utils and the protocol library
Allows shared-utils and protocol to be built with `bazel build projects/shared-utils` and `bazel build projects/protocol`. This lays down the necessary ground work to include these libraries as dependencies in other bazel build rules.",No
"build(devtools): set up bazel and bazel tooling
Marks the beginning of a migration over to building Angular devtools with Bazel. This commit brings in tooling from the canonical angular bazel example repository and includes the necessary dependencies in the package.json",No
"ci: Windows support for tsec_test. (#43924)
Contents of generated tsconfig for tsec_test now depend on whether
Bazel uses symlinked runfiles for nodejs_test. The current
implementation assumes that symlinked runfiles are not available
on Windows.
PR Close #43924",No
"fix(platform-browser): use correct parent in animation removeChild callback (#44033)
Animation's `onRemovalComplete` callback is using incorrect `parentNode`.
Should be parentNode provided by `delegate.parentNode(element)` instead of direct `element.parentNode`.
This is not a problem with default renderer but can cause problems with custom renderer if it uses another
logic to add/remove nodes.
Fixes #44023
PR Close #44033",Yes
"refactor(language-service): Move language service code out of ivy/ folder (#44064)
This commit moves code in the language service package out of the ivy
subfolder. Ivy is the _only_ engine supported in v13+ so there's no need
to have a name for it.
PR Close #44064",No
"refactor(language-service): Remove View Engine code from language service package (#44064)
This commit removes ViewEngine-specific code from the langauge service
package. This code is no longer used since VE is not supported in v13+.
PR Close #44064",Yes
"build: update all non-major dependencies (#43974)
PR Close #43974",No
"fix(compiler-cli): handle pre-release versions when checking version (#44109)
Currently the TS version checking function interprets a version like `1.2.3-rc.5` as `1.2.NaN` which would allow it to bypass the version checking altogether.
These changes add a little bit more logic to ensure that such versions are handled correctly. There's also an error if we don't manage to parse the version string.
Also it seemed like we never actually ran the version check unit tests, because they didn't have a test target.
PR Close #44109",Yes
"docs: including additional assets into libraries (#44076)
PR Close #44076",No
"release(devtools): v1.0.4
",No
"build(devtools): add .angular to gitignore
",No
"build(devtools): update angular-cli to 7c4c781
",No
"refactor(ngcc): improve logging of progress (#43996)
This commit adds additional information to encourage developers to contact
the author of View Engine libraries and ask them to update to partial Ivy.
Fixes #42308
PR Close #43996",No
"build(docs-infra): remove unnecessary work-around for SW config generation (#44114)
Since angular.io is now updated to a version that includes the fix
from #43679, the work-around added in
841c5aebbfc7f40fdf838cc3e73395cf8b94bdf9 can now be removed.
PR Close #44114",Yes
"release(devtools): v1.0.3
",No
"ci: instruct renovate to apply patch label to avoid divergence with other version branches (#44065)
Renovate currently always applies the minor label. This often causes
the patch/FF/RC branches to quickly diverge. We should always apply
the patch label with the goal of keeping infra-related changes in sync
as much as possible.. Then it is still possible to selectively apply the
minor/major label if needed (this forces the reviewer to actually think
about where this should go in, if it fails!).
PR Close #44065",Yes
"build(devtools): update angular-framework to e814a61
",No
"fix(devtools): handle ngFor and ngIf contexts in the profiler
Currently, we skip the time spent in evaluation of embedded view
templates because the passed context is either an NgIf or an NgForOf.
This change generalizes the implementation to work with views embedded
into a component.",Yes
"fix(docs-infra): prevent automatic linking of 'number' (#44000)
add 'number' to the ignoreGenericWords set so that it doesn't get
wrongly linked to the decimalPipe during the aio docs generation
as it is a generic typescript term
PR Close #44000",Yes
"refactor(docs-infra): remove eslint directive comments from examples (#43831)
Linting has recently been removed from the examples provided in angular.io
(see PRs #43592 and #43746) such removal effects the downloadable and
stackblitz examples but linting is still generally used in the examples
in the aio project itself (they are being migrated from tslint to eslint in
PR #43218) thus eslint directive comments are still necessary in the code itself.
So the comments need to be present but need not to be exposed to the users
(not in the zips, stackblitzes nor docs themselves), these changes are
removing such comments during the examples' parsing phase (effectively
removing them from all three sources mentioned above).
Original discussion: https://github.com/angular/angular/pull/43218#discussion_r697305494
resolves #43788
PR Close #43831",No
"fix(core): do not use Function constructors in development mode to avoid CSP violations (#43587)
This commit removes the dynamic creation of named arrays for internal
runtime storage arrays as they may cause CSP violations in development
mode,  when an application's CSP configuration does not include
`unsafe-eval`.
Named arrays for view data can still be enabled in development mode
using the `ngDevMode=namedConstructors` query parameter when loading the
application.
The usage of native class syntax for named arrays does not have the
desired effect when the code is downleveled to ES5. Since ES5 targets
are becoming increasingly more rare this is considered less of a problem
than the CSP violation.
Fixes #43494
PR Close #43587",No
"docs(animations): express the seconds in numbers (#40098)
I've noticed that the seconds are expressed both by using numbers and words.
For example, the doc says `0.5 second` and not `half second`.
I believe is more readable to express them by using numbers and is consistent too.
PR Close #40098",Yes
"fix(compiler-cli): ensure literal types are retained when `strictNullInputTypes` is disabled (#38305)
Consider the `NgModel` directive which has the `ngModelOptions` input:
```ts
class NgModel {
@Input() ngModelOptions: { updateOn: 'blur'|'change'|'submit' };
}
```
In a template this may be set using an object literal as follows:
```html
<input ngModel [ngModelOptions]=""{updateOn: 'blur'}"">
```
This assignment should be accepted, as the object's type aligns with the
`ngModelOptions` input in `NgModel`. However, if the `strictNullInputTypes`
option is disabled this assignment would inadvertently produce an error:
```
Type '{ updateOn: string; }' is not assignable to type '{ updateOn: ""blur""|""change""|""submit""; }'.
Types of property 'updateOn' are incompatible.
Type 'string' is not assignable to type '""blur""|""change""|""submit""'
```
This is due to the `'blur'` value being inferred to be of type `string`
instead of retaining its literal type. The non-null assertion operator
that is automatically inserted for input binding assignments when
`strictNullInputTypes` is disabled inhibits TypeScript from inferring
the string value as its literal type.
This commit fixes the issue by omitting the insertion of the non-null
operator for object literals and array literals.
PR Close #38305",No
"refactor(compiler-cli): use relative imports within the @angular/compiler-cli package (#44118)
Intrapackage imports should always be done via relative imports rather than using the external
import location.
PR Close #44118",Yes.
"refactor(compiler): reverse testing of ternary operator to ensure typescript properly narrows types (#44089)
By checking if the providedIn is a function instead of everything but a function, typescript properly
narrows the typings for creating the expressions.
PR Close #44089",No
"docs: update getting started tutorial to use StackBlitz web-containers (#44085)
Previous commits changed the docs to use web-container versions for StackBlitz examples.
This commit updates the content of the tutorial to match.
Fixes #44079
PR Close #44085",No
"build(docs-infra): remove link to custom Stackblitz for running tests (#44085)
Previously there was a custom version of the testing app for Stackblitz that would run the tests in the browser.
With the web-container approach, this is no longer necessary since the tests can be run directly from the command line.
Fixes #44047
PR Close #44085",No
"build(docs-infra): ensure necessary boilerplate files appear in Stackblitz examples (#44085)
The `tsconfig.app.json` and similar were not appearing in the generated Stackblitz examples.
PR Close #44085",No
"build(docs-infra): remove unused code (#44085)
This import was not being used and so it is redundant and can be removed.
PR Close #44085",Yes
"fix(compiler): generate correct code for safe method calls (#44088)
When a safe method call such as `person?.getName()` is used, the
compiler would generate invalid code if the argument list also contained
a safe method call. For example, the following code:
```
person?.getName(config?.get('title').enabled)
```
would generate
```
let tmp;
ctx.person == null ? null : ctx.person.getName((tmp = tmp) == null ?
null : tmp.enabled)
```
Notice how the call to `config.get('title')` has completely disappeared,
with `(tmp = tmp)` having taken its place.
The issue occurred due to how the argument list would be converted
from expression AST to output AST twice. First, the outer safe method
call would first convert its arguments list. This resulted in a
temporary being allocated for `config.get('title')`, which was stored in
the internal `_resultMap`. Only after the argument list has been
converted would the outer safe method call realize that it should be
guarded by a safe access of `person`, entering the `convertSafeAccess`
procedure to convert itself. This would convert the argument list once
again, but this time the `_resultMap` would already contain the
temporary `tmp` for `config?.get('title')`. Consequently, the safe
method in the argument list would be emitted as `tmp`.
This commit fixes the issue by ensuring that nodes are only converted
once.
Closes #44069
PR Close #44088",No
"docs: add Angular 13 support information (#44098)
Closes #44097
PR Close #44098",No
"build(docs-infra): include `systemjs` as a dependency to SystemJS-based docs examples (#43868)
Due to an oversight, the `systemjs` package was previously not included
as a dependency in the boilerplate `package.json` file for
SystemJS-based docs examples, despite it being required by the app.
PR Close #43868",Yes
"docs(upgrade): minor fixes to the `upgrade` guide (#43868)
Includes the following fixes:
- Remove unused `format` attribute from `<code-example>` elements
- Explicitly mention that the starting point for the ""Phonecat Upgrade
Tutorial"" is the 1.5.x version of the original Phonecat tutorial
(since the original tutorial has since been updated to use AngularJS
v1.8.x and use npm instead of bower).
PR Close #43868",No
"build: update dependency vlq to v2 (#43901)
PR Close #43901",No
"docs: update link (#44017)
Update link to match heading.
PR Close #44017",No
"docs(forms): fix typo in toInteger() function (#44075)
PR Close #44075",No
"refactor(core): correct typing when getting the Nearest LContainer (#44087)
Updating the casted typings of `getNearestLContainer` to ensure that typescript properly
returns the LContainer | null type.
PR Close #44087",Yes
"refactor(core): correct typing checks when registering destroy hooks (#44087)
Making the typing filtering more explicit allows typescript to properly recognize the presence of the
`prototype` property on the provider within the `registerDestroyHooksIfSupported` method.
PR Close #44087",No
"refactor(core): remove truthy check for classes getter (#44087)
Remove the truthy check for the classes getter as both paths from the check assume className was not
undefined.  This allows for typescript to properly determine the type of `className` in the falsy path
from the truthy check.
PR Close #44087",No
"build(devtools): update angular-framework
",No
"refactor(forms): update minlength/maxlength to inherit abstractValidator (#43998)
Modified minlength and maxlength validator to inherit abstractValidator
For every validator type different PR will be raised as discussed in #42378.
Closes #42267
PR Close #43998",No
"build: lock file maintenance (#44003)
PR Close #44003",No
"ci: update mobile browsers tested via browser stack to correctly test supported browsers (#43858)
Update to running tests against latest ios and android emulators.
PR Close #43858",No
"docs: remove reference of testing against BrowserStack (#43858)
Remove BrowserStack from statement about CI tests using the service as Angular now only uses Saucelabs for
our platform specific browser testing.
PR Close #43858",No
"docs: update listed supported browsers to accurately reflect support browsers (#43858)
Update documentation to note 2 most recent major versions of Android browser support
rather than explictly listing browsers.
PR Close #43858",Yes.
"docs: fix typescript errors for the schematics-for-libraries example (#30966)
PR Close #30966",No
"docs: add cross-platform support to postbuild in schematics-for-libraries (#30966)
Use the cross-platform `copyfiles` package instead of using `cp` which fails on Windows machines when copying files in the `postbuild` script of the ""schematics-for-libraries"" example.
PR Close #30966",Yes
"docs: fix typo in the CHANGELOG (#44058)
PR Close #44058",No
"docs: improve documentation (#44031)
PR Close #44031",No
"build: add angular v12 packages to renovate ignore list (#44054)
The Angular v12 alias packages should not be accidentally updated to
v13 by Renovate. These packages are still used by tests for e.g. Ngcc
and should continue to provide the APF v12 View Engine output.
PR Close #44054",No
"ci: do not capture nested bazel integration test workspace within Bazel (#44061)
The `integration/bazel` folder cannot be excluded within the
`.bazelignore` file. This is necessary so that the integration test
rule can glob for all files within the integration test.
The downside is that the `integration/bazel/<..>` folder is being
discovered by the `//...` target query, causing Starlark files to
be interpreted/validated. e.g.
https://app.circleci.com/pipelines/github/angular/angular/39255/workflows/c6c448ed-9a44-49b3-a0c2-2c7328ce2855/jobs/1079169
Previously such errors did not appear because no Starlark `.bzl` files
within the test imported other files using the `//` absolute resolution.
Explicitly excluding the nested packages using the `--deleted_packages`
option is the most idiomatic way of achieving this currently (similarly
done by `rules_nodejs`). More information on why this is so verbose
currently:
https://github.com/bazelbuild/bazel/issues/12034
PR Close #44061",No
"refactor(bazel): fix typo in packager action file comments (#44061)
Fixes two typoes in the packager logic.
PR Close #44061",No
"test: re-enable bazel integration test with APF v13 (#44061)
Re-enables the Bazel integration test that we have disabled
as part of the APF v13 changes. Since there are no UMD files
anymore, the Karma tests no longer worked. Similarly, the Angular
linker had to run for building the production bundle.
PR Close #44061",No
"docs: update install guide for angular elements (#44077)
Co-Authored-By: George Kalpakas <kalpakas.g@gmail.com>
PR Close #44077",No
"docs: update Definition of Terms in APF guide (#44060)
Several improvements to the Definition of Terms of terms section in the APF guide.
PR Close #44060",No
"docs: unlink `async` keyword in APF guide (#44060)
Currently, `async` keywords in the APF guide incorrectly links to https://angular.io/api/common/AsyncPipe
PR Close #44060",No
"docs: update apf guide files layouts table (#44060)
With this change we improve the file layout structure table and align it with other similar tables example: https://angular.io/guide/file-structure
PR Close #44060",Yes
"test: re-enable platform-server integration test (#44055)
Re-enables the platform-server integration test that we had
to disable when we landed the APF v13 changes.
We can re-enable it by setting up the `fullySpecified` option
similar to how the CLI does it.
PR Close #44055",Yes
"docs: update roadmap update date (#44036)
PR Close #44036",No
"build(docs-infra): configure region parser to allow `.mjs` (#44027)
This commit updates the necessary config settings to allow `.mjs` files to be able to be parsed by the region parser. We configure the parser to use `inline-c-only` so that comments are generated in like the below
```
// #docregion
```
rather than
```
/* #docregion */
```
PR Close #44027",No
"docs: improve consuming partial-Ivy code outside the Angular CLI (#44027)
With this change we add an example of how to consume the linker plugin and also clean up the parts of this section.
Closes #44026
PR Close #44027",No
"docs: update the survey expiry date (#44021)
PR Close #44021",No
"test: update ng-update integration test to test v13 migrations (#44016)
Updates the `ng-update` migration integration test to run against
v13 migrations. We have removed all older migrations so this integration
test needs to be updated.
PR Close #44016",No
"test: re-enable ng-update migration integration test (#44016)
Re-enables the ng-update migration integration test as all the ESM/CJS
interop changes have landed in the `@angular/core` schematics folder.
PR Close #44016",No
"test: wire up `ng-add-localize` CLI project as integration test to run within Bazel (#44016)
Wires up the `ng-add-localize` minimal CLI project to run as integration
test within Bazel.
PR Close #44016",No
"refactor(localize): ensure schematic code runs as commonjs (#44016)
The schematic code in `@angular/localize` is currently still emitted
as CommonJS, while the rest of `@angular/localize` is strict ESM (which
is also denoted through `type: module` in the package.json file).
The schematic code is currently imported as CJS from the CLI so it
is not a problem right now. Still, it is safer to ensure the code
for schematics is properly picked up as CJS through a local
`package.json` file resetting `type: module` to `type: commonjs`.
PR Close #44016",No
"test: setup minimal CLI project for ng-add localize integration test (#44016)
Sets up a minimal CLI project for testing that `ng add @angular/localize`
works as expected. Schematic sub-packages are prone to CJS/ESM issues
due the overall framework packages being denoted as strict ESM.
This may not be an issue in the concrete scenario of `@angular/localize`
right now, but it is still good to have an integration test similar to
the tests we have for `@angular/core` schematics.
PR Close #44016",No
"feat(upgrade): support NgModule class as an argument of the `downgradeModule` function (#43973)
This commit extends the logic of the `downgradeModule` function to support NgModule class as an argument. This is needed to simplify the API surface to avoid the need to resolve NgModule factory before invoking the `downgradeModule` method.
PR Close #43973",No
"docs: amend inaccurate immutability definition (#43951) (#43951)
PR Close #43951
PR Close #43951",No
"build: update dependency http-server to v14 (#43900)
PR Close #43900",No
"feat(http): add `has()` method to `HttpContext` class (#43887)
At present, the get() method provided by HttpContext will never return null. Sometimes we need to check whether an http token is included, so add the has() method to HttpContext.
PR Close #43887",Yes
"refactor(core): set up structure for google3 usage of migration schematics (#43980)
Set up exporting the migration rules from the google3 directly from the internal
@angular/migrations package.  This package is an internal only package to be
exposed for loading TSLint rules.
PR Close #43980",No
"docs: add blog post link to CHANGELOG (#44049)
PR Close #44049",No
"docs: update CHANGELOG with deprecations (#44048)
This commit adds deprecation messages from the commits in the `.next` and `.rc` releases.
PR Close #44048",Yes
"build(docs-infra): target webcontainers for stackblitz ""live-example"" links (#44041)
This commit changes the Stackblitz live examples to create ""webcontainer"" projects on Stackblitz.
This approach supports the new Angular v13 packaging formats but webcontainers are not supported on some browers. So this is a temporary solution.
PR Close #44041",Yes
"build: update angular (#44024)
PR Close #44024",No
"release: cut the v13.1.0-next.0 release (#44040)
PR Close #44040",No
"docs: release notes for the v12.2.13 release (#44039)
PR Close #44039",No
"docs: release notes for the v13.0.0 release (#44034)
PR Close #44034",No
"fix(migrations): prevent migrations from updating external templates multiple times (#44013)
The `NgComponentTemplateVisitor` helper was always referring back to the original source file on disk
rather than the virtual file in the migration. This meant that some template migrations could attempt
to modify the template multiple times resulting in invalid output.
As an example the `migration-v13-router-link-empty-expression` migrates the following template:
```
<div [routerLink]></div>
```
to
```
<div [routerLink]=""[]""></div>
```
But if the template was referenced multiple times in the program, such as when the component was
referenced in the source and test entry-points, the migration would result in things like:
```
<div [routerLink]=""[]""=""[]""></div>
```
Fixes #44005.
PR Close #44013",No
"fix(migrations): account for CRLF characters in template migrations (#44013)
Previously, when parsing code for templates to migrate, CRLF characters were converted to just LF.
This meant that the source-spans being used to overwrite the template strings in the original source code were out of sync with the positions identified in the parsed templates.
This commit fixes this by parsing the raw text of the template taken from the source code instead of processed string contents.
Fixes #44005
PR Close #44013",Yes
"ci: re-enable the schematics tests (#44013)
These tests had been disabled when we initially disabled ViewEngine.
The tests appear to run fine despite this, so we can re-enable them.
PR Close #44013",Yes
"build(docs-infra): update Angular CLI/framework/Material to final v13 RCs in docs examples (#43583)
This commit updates the docs examples to the latest prerelease versions
of Angular CLI, framework and CDK/Material.
It also updates the apps to more closely align with new apps CLI apps.
See also the [diff][1] between a basic v13.0.0-rc.0 CLI app and a
v13.0.0-rc.2 one.
[1]: cexbrayat/angular-cli-diff@13.0.0-rc.0...13.0.0-rc.2
PR Close #43583",Yes.
"test: update size goldens for AIO after updating to final v13 RCs (#43583)
Updates the size goldens for AIO to reflect the new measurements
after the v13 update to the latest release-candidates. i.e.
* rc.3 of Angular framework
* rc.2 of Angular CDK/Material
* rc.3 of Angular CLI.
Co-authored-by: George Kalpakas <kalpakas.g@gmail.com>
PR Close #43583",No
"build(docs-infra): update AIO to angular framework/components/cli final RCs (#43583)
Updates AIO to the latest v13 release-candidate version of all
Angular-owned packages, such as Angular CDK and Angular Material.
Applies changes needed for the v13 CLI as performed by the CLI
through `ng update`:
https://github.com/angular/angular-cli/tree/7ff8c5350ea2e49574dd659adae02215957d2685/packages/schematics/angular/migrations/update-13.
Additionally, the web components polyfill has been removed as all browsers
supported by Angular seem to support custom elements v1 natively, according to:
* https://caniuse.com/custom-elementsv1
* https://www.webcomponents.org/ (scroll down to browser support)
Co-authored-by: George Kalpakas <kalpakas.g@gmail.com>
PR Close #43583",No
"build: update angular (#43583)
PR Close #43583",No
"docs: release notes for the v13.0.0-rc.3 release (#44012)
PR Close #44012",No
"docs: initial commit of Angular Package Format documentation (#43987)
This commit adds the Angular Package Format to AIO. Previously this document
was updated and versioned in Google Docs.
The document is also updated for the Angular Package Format version 13.
PR Close #43987",No
"docs: update per feedback (#44009)
Update content per feedback from previous PR.
PR Close #44009",No
"docs: update the roadmap in alignment with v13 progress (#43986)
PR Close #43986",No
"Revert ""refactor(router): restore history in a consistent way on canceled navigations (#43651)"" (#44006)
This reverts commit a268c4471f2e1dcaffe3304236d506222adab44c.
Causes failures in internal team's code. The failures likely relate to
attempting to manually update private Router state tracking properties,
which this change would have affected.
PR Close #44006",No
"docs: update left-nav (#43964)
Update left-nav toc.
PR Close #43964",No
"docs: add link (#43964)
Add link for RFC. Clean up markdown formatting.
PR Close #43964",No
"docs: update per tech review (#43964)
Update content per feedback in tech review.
PR Close #43964",No
"docs: update release notes (#43964)
Update release note for version 13.
PR Close #43964",No
"docs: add redirect test (#43964)
Add redirect test for new latest version topic.
PR Close #43964",No
"docs: add links (#43964)
docs: add links to additional information.
PR Close #43964",No
"docs: remove previous latest verison (#43964)
Remove content for previous latest version.
PR Close #43964",No
"docs: update migration content (#43964)
Update content for AngularJS to Angular migration.  Add note to manually create UMD bundles.
PR Close #43964",Yes
"docs: update library use content (#43964)
Update content for library use.
PR Close #43964",No
"docs: add latest version content (#43964)
Add the update to latest version content for version 13.  Add redirect for latest version content.  Update toc for later version content.
PR Close #43964",Yes
"fix(docs-infra): search box input line-height (#43983)
This fixes an issue on Safari which caused the text to be pushed down when blurring out of the search input field. The root cause of the problem appears to be that previously the computed line height was that of 32px, which caused a shift in content.
Closes #43935
PR Close #43983",Yes
"docs: update note (#43979)
Update the note for hierarchy of locale identifiers.
PR Close #43979",No
"docs: remove link (#43979)
Remove redundant link.
PR Close #43979",No
"refactor(core): add `ViewRef` to private exports (#43978)
This commit adds `ViewRef` to private exports, so it can be reused in internal packages.
The `ViewRef` symbol remains *private* and should not be referenced directly.
PR Close #43978",No
"refactor(docs-infra): remove obsolete way of disabling `DocViewer` animations (#43977)
Previously, there were two ways to disable view transition animations in
`DocViewerComponent`: Using a `.no-animations` CSS class on the
`<aio-doc-viewer>` element and setting the static
`DocViewerComponent.animationsEnabled` property to `false`. The latter
was only used to disable animations for testing purposes.
With the recent introduction of `AppComponent.reducedMotion`, there is
now an easy way to disable animations in tests using the
`.no-animations` class (which is applied by `AppComponent` based on the
value of `AppComponent.reducedMotion`). Therefore, it is no longer
necessary to have `DocViewerComponent.animationEnabled`.
This commit removes the now obsolete `animationsEnalbed` property.
PR Close #43977",No
"fix(docs-infra): improve accessibility by respecting `prefers-reduced-motion` (#43977)
Make the app easier to use for people with motion sensitivities by
disabling several animations (esp. ones involving moving things around)
when the user prefers reduced motion. The user's preference is detected
using the [prefers-reduced-motion][1] CSS media feature.
Disabled animations include:
- View fade in/out transitions.
- Sidenav open/close animations.
- Top-menu color and size changes.
- Contributor cards flip animations.
For more details on using `prefers-reduced-motion` and disabling
Angular animations see:
- [Designing with reduced motion for motion sensitivities][2]
- [Disabling Angular animations at runtime][3]
[1]: https://developer.mozilla.org/en-US/docs/Web/CSS/@media/prefers-reduced-motion
[2]: https://www.smashingmagazine.com/2020/09/design-reduced-motion-sensitivities/
[3]: https://dev.to/this-is-angular/disabling-angular-animations-at-runtime-9a6
PR Close #43977",Yes
"test: remove `ng_elements_schematics` integration test (#43975)
This test has been removed as since the elements schematic has been removed in a previous commit.
PR Close #43975",Yes
"fix(elements): remove incorrect `@angular/platform-browser` peer dependency (#43975)
The elements package doesn't use `@angular/platform-browser` therefore this is not needed.
PR Close #43975",Yes
"fix(elements): remove `ng-add` schematic (#43975)
This schematic is no longer needed since all the [browsers](https://angular.io/guide/browser-support) that Angular supports `CustomElementRegistry` APIs.
Side note: `document-register-element` has been deprecated in favor of `@ungap/custom-element`
PR Close #43975",Yes
"docs: update elements page (#43975)
This section was outdated since now all CLI projects are es2015+ and don't require the polyfill since legacy browsers are no longer supported.
PR Close #43975",Yes
"test: remove `document-register-element` from elements tests (#43975)
All the [browsers](https://angular.io/guide/browser-support) that Angular supports `CustomElementRegistry` APIs
PR Close #43975",No
"docs: update dynamic component guide to use factory-less ViewContainerRef.createComponent (#43895)
PR Close #43895",No
